place_id,name,address,latitude,longitude,rating,user_ratings_total,price_level,all_types,search_type,area,business_status,photos,all_search_types,regional_types,primary_cuisine,specific_types,popularity_score,formatted_address,formatted_phone_number,website,opening_hours_text,detail_types,specific_type_1,specific_type_2,specific_type_3
ChIJ_U_NR69ZwokRkOaA92AjJ4U,Kimpton Hotel Eventi,"851 6th Avenue, New York",40.7470222,-73.9900333,4.4,1996,3,"[""lodging"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment""]",restaurant,Manhattan Midtown,OPERATIONAL,['AeeoHcIxohFXiJ3ZxS8d6CxMJhETEBFK4MhocjCE_iV0-fihNDpSpTclee17ISkte7j6lRF10XKaMY7jI1NFeNVMKtT7UqRc5bUo04ZjG8MbPz74RLG2tkI2o785WI0k-uGFBZ5UAPMg1GsyvG7Vmw1Yq7syfmAs5NCsNUhFlXYtOJ_alYixcHhiug6Gx4bnfZO2ylf4C8t1wjiryTbrI9TF7YviAd_tLnaGqErDxOiBpjISwPjK8zL1TjdZ72jekJcGZaQLC8VRyK7Dy_PA_RkWYqQ5_en9sAyN9viFeJU5P4WgNxVtpHVVJBaDxcydIGtpO-zEdGJ9ZDc'],["restaurant"],,,,4400,,,,,,,,
ChIJmU5P6vBYwokRO73p8vAMXUE,Park Lane Hotel New York,"36 Central Park South South, New York",40.7650735,-73.9752633,4,2987,0,"[""bar"", ""lodging"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment""]",restaurant,Manhattan Midtown,OPERATIONAL,['AeeoHcJoY2ggwbEbVJDnsczp4kwJy7QGEDWptP3N7m3quTSjuU9kJWKCS3jfEvpWjZxIuluDaQJwkpYf9SoWXg3cLc4ZRggMoEcOsG-8ly4CPAbcx9DgR1rgPJzJdqlfGx9oxYf-m3rdbOfqQRjhVz373jYDyIwLi7XCTo2ggJoXsLxWU9XZ2giBajC6RJmCU9eArNLS7q37WQVW2NUJmW5vq3qiw5jbUyy3IFUYVNpqU8NHt41kLcGJ2DftpjVzJNM_YKkvgD6dwv4ZsftIIkvNzKzj7N5s51FGtuMp0NJA-n8J3E8iiT_zTS8jzuu8q4bTWfEvUBbAzoI'],["restaurant"],,,,4000,,,,,,,,
ChIJAS6GeVVYwokRPfg8xt4nH-I,Connolly's,"121 West 45th Street, New York",40.7573681,-73.9835798,4.4,4616,2,"[""bar"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment""]",restaurant,Manhattan Midtown,OPERATIONAL,['AeeoHcJn_hVFMeAShb7DbhXGrvOhWGlfpa3a30xcvxg7o4_PiQ7uSBh3jQfzf67E15e9mduXO4AXGjEIG1XgqB5EZgAx631SBZTM1AKIkAxu07Aar1NyOMiAvDzEGXtn-iYu7iTIP1Olv6uAcVIpzez8PRp9T0pvSQsS7A6YBYfsC9-DZE-bN3_Cv5qxojKe0AXAoJbJxxX-EJLI_O3cUttCpj5F_JARIOaY41padoKn7AVXfypGT5gt2kl4KAMfJItewYNN2hVy8ajgs-v136g870bqnQn8ftKMXi4fZOEKANrdHpoqPBNOkU8ayC8dO37G4aOJO2ToFw3U5kZOLQLZqCheJqmkNLNUYbsVadzC5jAOkRtzXpXGK2PPIg8dx_s5Zc95YZa8dZ8sutIKoxkfY2bnwROvWZXN4Qn31z9x-ykXJYpfv-YJGIB1Sh4QchvqA3oyDJQWEL8qO3ngVgvAUfbWpt23sSmc2BJxahfJE0bavWgqumFJblf7MiC0PhG0a6-lLf-f8Q3R4M3GSycl0GQI_GKvU4aJ5wEZ6eKe80JsI0ltDjnXfjjfCvn_1X41zGel-Uazr_LfeiIlm8N50i5ylln9ATa0qnzxHZL_6wzb3Jlf-eiaJF_pfo-mtWMCrJ6e783n'],["restaurant"],,,,4400,,,,,,,,
ChIJM6NLWapZwokR5Gj7tgBAfWo,Oohu Szechuan & Canton Cuisines,"128 West 36th Street, New York",40.7514762,-73.9883517,4.5,1293,2,"[""restaurant"", ""food"", ""point_of_interest"", ""establishment""]",chinese_restaurant,Manhattan Midtown,OPERATIONAL,['AeeoHcIo0FfAmbj12Vo1wdbWu8TMk1c7YX-iXLKLZFcakLhEdo2bYPdXIf_gY8uc6WkliDuJxkunBZv3s-Xd5Deap9ZFXhzJiqftH8RWt2Mnf4-X181s8_PXjDJDduaCnlTjSQQkjRDvsbDLgy1CK2z30naqTrPk2gmHjvjtP5HlinZvytqrreb4qAPYcNPsBC-BbYXcqwVkgwLLS_LvWq1XU2TAy10oFpK-uMZdNvxWq1ghOFHK6-4ka-UfltSDcDYBAhEafRaYZ619aOQWQC3u3WB_u2_u-gTwh-dwqvs7bYFq-21S77ci9XKzoXpgAi-LcQiGq220-uo'],"[""restaurant"", ""chinese_restaurant""]",chinese_restaurant,chinese_restaurant,,4500,"128 W 36th St., New York, NY 10018, USA",(212) 575-8899,https://www.oohunyc.com/,"[""Monday: 11:00\u202fAM\u2009\u2013\u200910:00\u202fPM"", ""Tuesday: 11:00\u202fAM\u2009\u2013\u200910:00\u202fPM"", ""Wednesday: 11:00\u202fAM\u2009\u2013\u200910:00\u202fPM"", ""Thursday: 11:00\u202fAM\u2009\u2013\u200910:00\u202fPM"", ""Friday: 11:00\u202fAM\u2009\u2013\u200910:30\u202fPM"", ""Saturday: 11:30\u202fAM\u2009\u2013\u200910:30\u202fPM"", ""Sunday: 11:30\u202fAM\u2009\u2013\u200910:00\u202fPM""]","[""restaurant"", ""food"", ""point_of_interest"", ""establishment""]",,,
ChIJR9So-lRYwokRX1xEjA0rChA,Carmine's - Time Square,"200 West 44th Street, New York",40.757498,-73.986654,4.5,17249,2,"[""restaurant"", ""food"", ""point_of_interest"", ""establishment""]",italian_restaurant,Manhattan Midtown,OPERATIONAL,['AeeoHcK0mtqcxifToefSVxzD5fn_jx8OYxIGL7Voijje6VmCVdCn9l-fYN1Vc6jrSkJOABJIX7Mx6-gPeg9zT0sVZmhAUudcdILwyB3dDfouxifYVwFhg7fQ0tPgtrK9aDlz-GMXA3kwoLUshyMIH6G7cpTgAaHX-1_htsUEDF_Xjg2P06mVvyiNS8xZkdtXv7EQPUckIdHfddyNff4JzwikWC1gGrt8kvi-Gp7mEHvPhZymlds5eR5Em_cAqwFzoDkD6_8cRlwvDXzQ6bNDojcPvTcrobVAmsif3NWenFNk7ZSn46yMCYLlpEhmf458FI_3YCT-0CAmPnU'],"[""italian_restaurant"", ""restaurant""]",italian_restaurant,italian_restaurant,,4500,"200 W 44th St, New York, NY 10036, USA",(212) 221-3800,https://www.carminesnyc.com/?olonwp=JjBtp_vMLk25gkYh_bnoiQ,"[""Monday: 11:30\u202fAM\u2009\u2013\u200911:00\u202fPM"", ""Tuesday: 11:30\u202fAM\u2009\u2013\u200911:00\u202fPM"", ""Wednesday: 11:30\u202fAM\u2009\u2013\u200911:00\u202fPM"", ""Thursday: 11:30\u202fAM\u2009\u2013\u200912:00\u202fAM"", ""Friday: 11:30\u202fAM\u2009\u2013\u200912:00\u202fAM"", ""Saturday: 11:30\u202fAM\u2009\u2013\u200912:00\u202fAM"", ""Sunday: 11:30\u202fAM\u2009\u2013\u200911:00\u202fPM""]","[""restaurant"", ""point_of_interest"", ""food"", ""establishment""]",,,
ChIJqTF1eABZwokR3ZMQ2obIW4w,Bryant Park Grill,"25 West 40th Street, New York",40.7531999,-73.982957,4.3,2959,2,"[""restaurant"", ""bar"", ""food"", ""point_of_interest"", ""establishment""]",restaurant,Manhattan Midtown,OPERATIONAL,['AeeoHcK9ZUSSKoVYYDKbMdamTx9kOGQV83jU_a8TIbJbqzdi3RQcEciM27SYfJAzSZ8XrMnv-Hj3NrhUgma25Y8lISHr4yIny3C03xGyqjYDl1fEoRjtqmJ6ssLVST4FOKH27QZLxPNX17XNVrq96t-Ol9_ImAmbLbVgD80qACNuWjdwl2nOQhsLAoS6BANSP3OSFe2CV7qiZ7DkFmZYBk1INWTJhAlZj3Unf6ktZxXhimDEXW8bgN4SgkT1yLXHigZxORdyzJX3rq42wem5I22yjfmGNqnSKIxrIYztyIqltcpcBP4E27FbKARn-eL7nMt-ApntMsasW7I'],["restaurant"],,,,4300,,,,,,,,
ChIJR9legAFZwokRa1s5gcFXPZw,Grand Central Oyster Bar,"89 East 42nd Street, New York",40.7524823,-73.9774311,4.2,4267,2,"[""restaurant"", ""food"", ""point_of_interest"", ""establishment""]",seafood_restaurant,Manhattan Midtown,OPERATIONAL,['AeeoHcLH8lmBxBwRNYRBpbWGHRKjBkHqjlSXPjl5922yMkfoG7QlEs46FgupTOqUDcEN072FcyKaXSz-oQWgzQ3sftOytX6ep3ahcaAVoPKx-F-wrlhhmrKAxRDa5NQKq1ImwVKX7PhQmLFPdExW6S4YfboUEZuUmZe7GyZ_xWvXoeZCWd0X0RN3TEM31kR6LfOqQKk1QPWu27CMIcEXhM1IwOHPEuocb6G3DvM5b8SYXlV-_rK0xPhc1aruX1HxjDsiRlLi7Wv88_uSwC9b7ed6m5eeOSZn9OIVrB1LrvSGSjGggVObZYQ0kAGJJaql2SNc5neqe25wT-U'],"[""restaurant"", ""seafood_restaurant""]",,,seafood_restaurant,4200,,,,,,seafood_restaurant,,
ChIJzz-PyFVYwokRwp5z0KduYls,Blue Fin,"1567 Broadway, New York",40.7593759,-73.9853252,4.2,1068,3,"[""restaurant"", ""food"", ""point_of_interest"", ""establishment""]",seafood_restaurant,Manhattan Midtown,OPERATIONAL,['AeeoHcJBTX9IIWqQ6sVUl2KPkQBPrreNov23uJZrPC8EBG2rmwe5ILCeC8sKYWk-NInGe5SaJt-fsmydfdAiO6NVjxCHzUdjOq70GqJC_Kdf8tNddCs_NBYPW8_ROcXlTuO__MJNUCJpjt-k_Ld2bDe7xBcT57qnONo2uU62zmy5ak4THtpBxnwDABgCQM0oGIJVuQOXCcsu8NqCbf5jXtZuI637WQsfozeTjXqwmZqocA56AeCWWLP219VgQ7N-VB9GZwuCdIZzCU74K310wCuA67ltC4lXib9tUqylrvkty_JkAuJ7ZuRvhh0vfZ6XtCkiO7eXZIb1uDA'],"[""restaurant"", ""seafood_restaurant""]",,,seafood_restaurant,4200,,,,,,seafood_restaurant,,
ChIJhXAgf1NYwokRBzdqc2TRX_I,Shake Shack Theater District,"691 8th Avenue, New York",40.7584105,-73.989219,4.4,14287,2,"[""meal_takeaway"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment""]",hamburger_restaurant,Manhattan Midtown,OPERATIONAL,['AeeoHcL76lcudRnv6ltyElJl84uZG6_Qh6eXsFcrI3tsF3s3ju9wa_NvvS0qNzxikHnHCFNJPw9qr71B1XrtIZp8leA9Ei3zctteKcO88NjN93nIZ8tlGFC5_M_vWq8i3ewQL3RzAneD_Wpl0aHZTGPLcVH2HBUApdB2_VJCuJa76m1C8EkiXs24zav_CLq77BaIjh8b4EqSI1QB4uG6iPjw7t1OTjuDuVw8CJdqaSJQ0Fv6dDcXBrz9UnhQZA73qP8MqbTR4AXKwwzyHcBhwFlzTgfxtf-VUAcGuH7YLCIxEWYwBdwAhZATZFAK2LYDZLnDSybwOueVFHc'],"[""restaurant"", ""hamburger_restaurant""]",,,hamburger_restaurant,4400,,,,,,hamburger_restaurant,,
ChIJ_85dJlZYwokR29NPLSJngR4,Ellen's Stardust Diner,"1650 Broadway, New York",40.7618723,-73.9834356,4.4,21156,2,"[""restaurant"", ""food"", ""point_of_interest"", ""establishment""]",restaurant,Manhattan Midtown,OPERATIONAL,['AeeoHcKc9eiDNMwecFsF4c0ldYrAgFsquj-GZhAPovICgraOhlgEWRh63hAxa8znC232WuZ9dfJPnAnHv_E24Ll4t-OzTs0Iin_1NFgXa9A2V3ehQNwBeF_yPC6gdU50NEFFAyT_4sSh4zVg7nc4RYv-exKeQwEXvjkx7Of2WrZgW0t1CMKmauMajGzp_ikoKUT_4TD7Ppp5VzE7us3fw5o79lc9Tw-_LX2vTpyNTKw4brSdS3U3sqYHDneE6aIEgXdjJNedKAJ9i-C7oge0Jc_IJJUndvkytFDRJOP0jKQNWcmhFCwkqIID1clPRT2ojcT3vtJBXQt-'],["restaurant"],,,,4400,,,,,,,,
